velx,vely,velz,accx,accy,accz
0.807426,1.718485,-0.651132,0.345253,0.734819,-0.278422
0.803468,1.710063,-0.647941,-0.512731,-1.091271,0.413481
0.779838,1.659770,-0.628885,-0.483015,-1.028026,0.389518
0.756903,1.610956,-0.610390,-0.455022,-0.968447,0.366944
0.734643,1.563578,-0.592438,-0.428652,-0.912321,0.345678
0.709560,1.510193,-0.572211,-0.533051,-1.134519,0.429868
0.681873,1.451266,-0.549883,-0.492263,-1.047709,0.396976
0.653080,1.389983,-0.526663,-0.529002,-1.125902,0.426603
0.617333,1.313901,-0.497836,-0.673590,-1.433636,0.543203
0.592013,1.260012,-0.477417,-0.151197,-0.321800,0.121930
0.567460,1.207755,-0.457617,-0.595973,-1.268440,0.480611
0.526268,1.120082,-0.424398,-0.599556,-1.276065,0.483500
0.480171,1.021973,-0.387224,-0.628579,-1.337836,0.506905
0.428331,0.911638,-0.345419,-0.617262,-1.313750,0.497778
0.394736,0.840137,-0.318327,-0.134687,-0.286662,0.108616
0.373226,0.794356,-0.300981,-0.299458,-0.637352,0.241492
0.316061,0.672688,-0.254881,-0.695193,-1.479616,0.560625
0.193771,0.412414,-0.156263,-0.685614,-1.459227,0.552900
0.000000,0.000000,0.000000,-0.686316,-1.460722,0.553466
0.000000,0.000000,0.000000,1.503752,0.000000,0.000000
0.511133,0.004012,0.123367,1.483557,0.011645,0.358070
0.827129,0.006492,0.199635,1.428971,0.011216,0.344895
1.015495,0.007971,0.245099,1.385362,0.010874,0.334370
1.173976,0.009215,0.283350,1.472790,0.011560,0.355472
1.308343,0.010270,0.315781,1.270063,0.009969,0.306541
1.416188,0.011116,0.341810,1.158610,0.009094,0.279641
1.510567,0.011857,0.364589,1.130355,0.008872,0.272822
1.595322,0.012522,0.385046,1.051013,0.008250,0.253672
1.676700,0.013161,0.404687,1.160972,0.009113,0.280211
1.753287,0.013762,0.423172,1.015866,0.007974,0.245189
1.824478,0.014321,0.440355,1.100038,0.008635,0.265504
1.888973,0.014827,0.455921,0.884593,0.006943,0.213505
1.946211,0.015276,0.469736,0.939013,0.007371,0.226640
2.005183,0.015739,0.483969,0.996781,0.007824,0.240582
2.065942,0.016216,0.498634,1.058104,0.008305,0.255383
2.117847,0.016624,0.511162,0.741416,0.005820,0.178948
2.160416,0.016958,0.521436,0.771520,0.006056,0.186214
2.203841,0.017299,0.531917,0.802847,0.006302,0.193775
2.248138,0.017646,0.542609,0.835446,0.006558,0.201643
2.293325,0.018001,0.553515,0.869368,0.006824,0.209830
